Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","001","World","5419","Yield","0112","Maize (corn)","1961","1961","hg/ha","19423","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0112","Maize (corn)","1962","1962","hg/ha","19796","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0112","Maize (corn)","1963","1963","hg/ha","20311","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0112","Maize (corn)","1964","1964","hg/ha","19937","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0112","Maize (corn)","1965","1965","hg/ha","21237","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0112","Maize (corn)","1966","1966","hg/ha","22078","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0112","Maize (corn)","1967","1967","hg/ha","24236","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0112","Maize (corn)","1968","1968","hg/ha","22894","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0112","Maize (corn)","1969","1969","hg/ha","24206","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0112","Maize (corn)","1970","1970","hg/ha","23509","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0112","Maize (corn)","1971","1971","hg/ha","26534","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0112","Maize (corn)","1972","1972","hg/ha","26867","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0112","Maize (corn)","1973","1973","hg/ha","27217","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0112","Maize (corn)","1974","1974","hg/ha","25565","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0112","Maize (corn)","1975","1975","hg/ha","28132","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0112","Maize (corn)","1976","1976","hg/ha","28371","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0112","Maize (corn)","1977","1977","hg/ha","29668","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0112","Maize (corn)","1978","1978","hg/ha","31556","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0112","Maize (corn)","1979","1979","hg/ha","33847","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0112","Maize (corn)","1980","1980","hg/ha","31534","E","Estimated value"
