Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1961","1961","hg/ha","10889","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1962","1962","hg/ha","12060","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1963","1963","hg/ha","11320","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1964","1964","hg/ha","12413","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1965","1965","hg/ha","12151","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1966","1966","hg/ha","14079","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1967","1967","hg/ha","13392","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1968","1968","hg/ha","14534","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1969","1969","hg/ha","14174","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1970","1970","hg/ha","14941","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1971","1971","hg/ha","16245","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1972","1972","hg/ha","16046","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1973","1973","hg/ha","16836","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1974","1974","hg/ha","16155","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1975","1975","hg/ha","15701","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1976","1976","hg/ha","17911","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1977","1977","hg/ha","16724","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1978","1978","hg/ha","19328","E","Estimated value"
