Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,1,World,5419,Yield,141,Soya beans,1961,1961,hg/ha,11287,E,Estimated value
QCL,Crops and livestock products,1,World,5419,Yield,141,Soya beans,1962,1962,hg/ha,11384,E,Estimated value
QCL,Crops and livestock products,1,World,5419,Yield,141,Soya beans,1963,1963,hg/ha,11561,E,Estimated value
QCL,Crops and livestock products,1,World,5419,Yield,141,Soya beans,1964,1964,hg/ha,11323,E,Estimated value
QCL,Crops and livestock products,1,World,5419,Yield,141,Soya beans,1965,1965,hg/ha,12279,E,Estimated value
QCL,Crops and livestock products,1,World,5419,Yield,141,Soya beans,1966,1966,hg/ha,13723,E,Estimated value
QCL,Crops and livestock products,1,World,5419,Yield,141,Soya beans,1967,1967,hg/ha,13494,E,Estimated value
QCL,Crops and livestock products,1,World,5419,Yield,141,Soya beans,1968,1968,hg/ha,14345,E,Estimated value
QCL,Crops and livestock products,1,World,5419,Yield,141,Soya beans,1969,1969,hg/ha,14523,E,Estimated value
QCL,Crops and livestock products,1,World,5419,Yield,141,Soya beans,1970,1970,hg/ha,14800,E,Estimated value
QCL,Crops and livestock products,1,World,5419,Yield,141,Soya beans,1971,1971,hg/ha,15189,E,Estimated value
QCL,Crops and livestock products,1,World,5419,Yield,141,Soya beans,1972,1972,hg/ha,14896,E,Estimated value
QCL,Crops and livestock products,1,World,5419,Yield,141,Soya beans,1973,1973,hg/ha,15851,E,Estimated value
QCL,Crops and livestock products,1,World,5419,Yield,141,Soya beans,1974,1974,hg/ha,14079,E,Estimated value
QCL,Crops and livestock products,1,World,5419,Yield,141,Soya beans,1975,1975,hg/ha,16574,E,Estimated value
QCL,Crops and livestock products,1,World,5419,Yield,141,Soya beans,1976,1976,hg/ha,15443,E,Estimated value
QCL,Crops and livestock products,1,World,5419,Yield,141,Soya beans,1977,1977,hg/ha,17561,E,Estimated value
QCL,Crops and livestock products,1,World,5419,Yield,141,Soya beans,1978,1978,hg/ha,16264,E,Estimated value
QCL,Crops and livestock products,1,World,5419,Yield,141,Soya beans,1979,1979,hg/ha,17492,E,Estimated value
QCL,Crops and livestock products,1,World,5419,Yield,141,Soya beans,1980,1980,hg/ha,16001,E,Estimated value
QCL,Crops and livestock products,1,World,5419,Yield,141,Soya beans,1981,1981,hg/ha,17538,E,Estimated value
QCL,Crops and livestock products,1,World,5419,Yield,141,Soya beans,1982,1982,hg/ha,17586,E,Estimated value
QCL,Crops and livestock products,1,World,5419,Yield,141,Soya beans,1983,1983,hg/ha,16201,E,Estimated value
QCL,Crops and livestock products,1,World,5419,Yield,141,Soya beans,1984,1984,hg/ha,17143,E,Estimated value
QCL,Crops and livestock products,1,World,5419,Yield,141,Soya beans,1985,1985,hg/ha,19063,E,Estimated value
QCL,Crops and livestock products,1,World,5419,Yield,141,Soya beans,1986,1986,hg/ha,18199,E,Estimated value
QCL,Crops and livestock products,1,World,5419,Yield,141,Soya beans,1987,1987,hg/ha,19052,E,Estimated value
QCL,Crops and livestock products,1,World,5419,Yield,141,Soya beans,1988,1988,hg/ha,17047,E,Estimated value
QCL,Crops and livestock products,1,World,5419,Yield,141,Soya beans,1989,1989,hg/ha,18288,E,Estimated value
QCL,Crops and livestock products,1,World,5419,Yield,141,Soya beans,1990,1990,hg/ha,18958,E,Estimated value
QCL,Crops and livestock products,1,World,5419,Yield,141,Soya beans,1991,1991,hg/ha,18725,A,Official figure
QCL,Crops and livestock products,1,World,5419,Yield,141,Soya beans,1992,1992,hg/ha,20310,A,Official figure
QCL,Crops and livestock products,1,World,5419,Yield,141,Soya beans,1993,1993,hg/ha,19361,A,Official figure
QCL,Crops and livestock products,1,World,5419,Yield,141,Soya beans,1994,1994,hg/ha,21825,A,Official figure
