,crop_type,country,average_production,percent
145,maize,United States of America,366553395.0,33.0175%
28,maize,China,261049800.0,23.5142%
17,maize,Brazil,89139767.66666667,8.0293%
48,maize,Former USSR,48345519.5,4.3547%
5,maize,Argentina,46967555.166666664,4.2306%
89,maize,Mexico,27088263.166666668,2.4400%
65,maize,India,26832975.0,2.4170%
66,maize,Indonesia,24575800.166666668,2.2137%
24,maize,Canada,13752683.333333334,1.2388%
117,maize,Romania,13522066.166666666,1.2180%
49,maize,France,13155877.333333334,1.1850%
127,maize,South Africa,12273166.666666666,1.1055%
151,maize,Yugoslavia,10006201.166666666,0.9013%
46,maize,Ethiopia,9554045.333333334,0.8606%
64,maize,Hungary,7771260.666666667,0.7000%
112,maize,Philippines,7753631.833333333,0.6984%
42,maize,Egypt,7394639.0,0.6661%
107,maize,Pakistan,6746851.333333333,0.6077%
71,maize,Italy,6538882.333333333,0.5890%
136,maize,Tanzania,6228115.0,0.5610%
141,maize,Türkiye,6150000.0,0.5540%
110,maize,Paraguay,5341707.333333333,0.4812%
149,maize,Vietnam,4967834.833333333,0.4475%
137,maize,Thailand,4725119.833333333,0.4256%
113,maize,Poland,4278675.666666667,0.3854%
129,maize,Spain,4108441.5,0.3701%
53,maize,Germany,3927916.6666666665,0.3538%
75,maize,Kenya,3622462.8333333335,0.3263%
85,maize,Mali,3273996.1666666665,0.2949%
9,maize,Bangladesh,3102615.8333333335,0.2795%
82,maize,Malawi,3065276.3333333335,0.2761%
18,maize,Bulgaria,3013661.0,0.2715%
152,maize,Zambia,2814098.0,0.2535%
97,maize,Nepal,2460448.3333333335,0.2216%
3,maize,Angola,2396880.5,0.2159%
54,maize,Ghana,2283686.1666666665,0.2057%
104,maize,North Korea,2223274.0,0.2003%
7,maize,Austria,2122437.5,0.1912%
23,maize,Cameroon,2099937.8333333335,0.1892%
34,maize,Czechoslovakia,2017129.6666666667,0.1817%
58,maize,Guatemala,1910367.0,0.1721%
103,maize,Nigeria,1760341.6666666667,0.1586%
19,maize,Burkina Faso,1656098.8333333333,0.1492%
94,maize,Myanmar,1576387.8333333333,0.1420%
111,maize,Peru,1563375.8333333333,0.1408%
13,maize,Benin,1469858.3333333333,0.1324%
36,maize,Dem. Rep. Congo,1425057.3333333333,0.1284%
41,maize,Ecuador,1418256.6666666667,0.1278%
29,maize,Colombia,1391368.6666666667,0.1253%
55,maize,Greece,1383560.1666666667,0.1246%
93,maize,Mozambique,1365639.8333333333,0.1230%
148,maize,Venezuela,1267974.5,0.1142%
77,maize,Laos,1197740.0,0.1079%
27,maize,Chile,1075434.1666666667,0.0969%
