,crop_type,country,average_production,percent
91,soy,United States of America,112280205.0,32.8935%
10,soy,Brazil,110436474.66666667,32.3533%
2,soy,Argentina,52844319.833333336,15.4812%
18,soy,China,15587249.0,4.5664%
41,soy,India,11719036.666666666,3.4332%
71,soy,Paraguay,9848018.833333334,2.8851%
30,soy,Former USSR,7848253.0,2.2992%
16,soy,Canada,6781583.333333333,1.9867%
9,soy,Bolivia,2957218.0,0.8663%
92,soy,Uruguay,2446833.3333333335,0.7168%
78,soy,South Africa,1180640.8333333333,0.3459%
46,soy,Italy,1075485.5,0.3151%
42,soy,Indonesia,889189.3333333334,0.2605%
95,soy,Yugoslavia,858858.6666666666,0.2516%
31,soy,France,387444.5,0.1135%
75,soy,Romania,367562.6666666667,0.1077%
58,soy,Mexico,347639.8333333333,0.1018%
96,soy,Zambia,287700.6666666667,0.0843%
67,soy,North Korea,247402.83333333334,0.0725%
47,soy,Japan,230350.0,0.0675%
7,soy,Benin,199083.66666666666,0.0583%
4,soy,Austria,181890.0,0.0533%
40,soy,Hungary,171071.66666666666,0.0501%
14,soy,Cambodia,168333.33333333334,0.0493%
54,soy,Malawi,164566.66666666666,0.0482%
89,soy,Türkiye,151870.83333333334,0.0445%
61,soy,Myanmar,146601.0,0.0429%
43,soy,Iran,139882.83333333334,0.0410%
22,soy,Czechoslovakia,131195.5,0.0384%
29,soy,Ethiopia,123501.83333333333,0.0362%
94,soy,Vietnam,105484.83333333333,0.0309%
35,soy,Ghana,105461.66666666667,0.0309%
5,soy,Bangladesh,99140.5,0.0290%
66,soy,Nigeria,98087.16666666667,0.0287%
19,soy,Colombia,95670.0,0.0280%
79,soy,South Korea,90045.33333333333,0.0264%
34,soy,Germany,61550.0,0.0180%
97,soy,Zimbabwe,46467.5,0.0136%
27,soy,Egypt,43608.833333333336,0.0128%
86,soy,Thailand,39039.333333333336,0.0114%
37,soy,Guatemala,38666.666666666664,0.0113%
26,soy,Ecuador,33624.666666666664,0.0099%
12,soy,Burkina Faso,32565.666666666668,0.0095%
62,soy,Nepal,30511.833333333332,0.0089%
3,soy,Australia,26589.833333333332,0.0078%
24,soy,Dem. Rep. Congo,23767.0,0.0070%
1,soy,Angola,23198.666666666668,0.0068%
76,soy,Rwanda,23117.5,0.0068%
11,soy,Bulgaria,16180.333333333334,0.0047%
74,soy,Poland,12652.333333333334,0.0037%
6,soy,Belize,9863.333333333334,0.0029%
85,soy,Tanzania,9406.5,0.0028%
93,soy,Venezuela,9375.333333333334,0.0027%
56,soy,Mali,9108.166666666666,0.0027%
50,soy,Laos,9024.166666666666,0.0026%
15,soy,Cameroon,7660.5,0.0022%
65,soy,Nicaragua,7128.666666666667,0.0021%
81,soy,Sri Lanka,6128.166666666667,0.0018%
36,soy,Greece,6091.5,0.0018%
83,soy,Switzerland,4755.5,0.0014%
80,soy,Spain,4285.666666666667,0.0013%
28,soy,El Salvador,4231.333333333333,0.0012%
84,soy,Syria,2994.3333333333335,0.0009%
49,soy,Kenya,2386.3333333333335,0.0007%
72,soy,Peru,1567.6666666666667,0.0005%
88,soy,Togo,1482.6666666666667,0.0004%
39,soy,Honduras,1461.6666666666667,0.0004%
13,soy,Burundi,1158.1666666666667,0.0003%
73,soy,Philippines,604.3333333333334,0.0002%
0,soy,Albania,575.6666666666666,0.0002%
59,soy,Morocco,333.3333333333333,0.0001%
23,soy,Côte d'Ivoire,200.0,0.0001%
8,soy,Bhutan,198.33333333333334,0.0001%
70,soy,Panama,83.33333333333333,0.0000%
69,soy,Pakistan,46.0,0.0000%
68,soy,North Macedonia,30.166666666666668,0.0000%
44,soy,Iraq,16.333333333333332,0.0000%
53,soy,Madagascar,7.666666666666667,0.0000%
82,soy,Suriname,6.833333333333333,0.0000%
77,soy,Senegal,0.0,0.0000%
60,soy,Mozambique,0.0,0.0000%
57,soy,Malta,0.0,0.0000%
17,soy,Chile,0.0,0.0000%
20,soy,Costa Rica,0.0,0.0000%
21,soy,Cyprus,0.0,0.0000%
55,soy,Malaysia,0.0,0.0000%
90,soy,Uganda,0.0,0.0000%
25,soy,Denmark,0.0,0.0000%
87,soy,Timor-Leste,0.0,0.0000%
51,soy,Liberia,0.0,0.0000%
32,soy,French Guyana,0.0,0.0000%
33,soy,Gabon,0.0,0.0000%
38,soy,Guyana,0.0,0.0000%
52,soy,Luxembourg,0.0,0.0000%
63,soy,Netherlands,0.0,0.0000%
45,soy,Ireland,0.0,0.0000%
48,soy,Jordan,0.0,0.0000%
64,soy,New Zealand,0.0,0.0000%
