,crop_type,country,average_production,percent
145,maize,United States of America,214278467.80327868,38.8845%
28,maize,China,104747626.8852459,19.0083%
17,maize,Brazil,34373628.91803279,6.2377%
48,maize,Former USSR,16478940.819672132,2.9904%
89,maize,Mexico,15353528.229508197,2.7862%
5,maize,Argentina,15284520.262295082,2.7736%
65,maize,India,11590432.131147541,2.1033%
49,maize,France,11148014.983606558,2.0230%
117,maize,Romania,9085283.360655738,1.6487%
66,maize,Indonesia,9000025.803278688,1.6332%
127,maize,South Africa,8937188.737704918,1.6218%
151,maize,Yugoslavia,8460016.540983606,1.5352%
24,maize,Canada,6918115.360655738,1.2554%
71,maize,Italy,6809951.327868853,1.2358%
64,maize,Hungary,6056718.557377049,1.0991%
42,maize,Egypt,4662212.360655738,0.8460%
112,maize,Philippines,4239507.983606557,0.7693%
103,maize,Nigeria,3536199.2459016396,0.6417%
137,maize,Thailand,3382680.2622950817,0.6138%
129,maize,Spain,2905147.2131147543,0.5272%
46,maize,Ethiopia,2771732.6393442624,0.5030%
141,maize,Türkiye,2522524.5901639345,0.4578%
136,maize,Tanzania,2169741.8360655736,0.3937%
53,maize,Germany,2141912.1967213117,0.3887%
104,maize,North Korea,2120297.2786885244,0.3848%
107,maize,Pakistan,2073341.049180328,0.3762%
75,maize,Kenya,2064729.4262295081,0.3747%
18,maize,Bulgaria,2032681.3770491802,0.3689%
149,maize,Vietnam,1836960.475409836,0.3333%
82,maize,Malawi,1597087.5573770492,0.2898%
55,maize,Greece,1488189.4098360655,0.2701%
7,maize,Austria,1416860.475409836,0.2571%
152,maize,Zambia,1350813.8852459015,0.2451%
153,maize,Zimbabwe,1311802.3278688525,0.2380%
97,maize,Nepal,1285415.1639344261,0.2333%
110,maize,Paraguay,1249569.7049180327,0.2268%
58,maize,Guatemala,1151650.2295081967,0.2090%
148,maize,Venezuela,1132719.0,0.2056%
29,maize,Colombia,1095758.262295082,0.1988%
34,maize,Czechoslovakia,1070221.1639344261,0.1942%
113,maize,Poland,1066857.4262295081,0.1936%
111,maize,Peru,931478.9016393443,0.1690%
36,maize,Dem. Rep. Congo,929032.3770491803,0.1686%
54,maize,Ghana,913237.5901639344,0.1657%
23,maize,Cameroon,819761.7213114754,0.1488%
27,maize,Chile,742888.6721311476,0.1348%
3,maize,Angola,660882.2459016393,0.1199%
