,crop,year,number_of_important_countries_blew_-5%,number_of_important_countries_blew_-10%,number_of_important_countries_bottom_quartile,yldAnomGauAbs
0,maize,1961,2,2,2,0
1,maize,1962,4,2,1,0
2,maize,1963,4,2,2,0
3,maize,1964,3,2,2,0
4,maize,1965,2,1,1,0
5,maize,1966,1,0,0,0
6,maize,1967,0,0,0,0
7,maize,1968,1,1,0,0
8,maize,1969,3,2,1,0
9,maize,1970,1,1,1,0
10,maize,1971,2,1,0,0
11,maize,1972,3,3,3,0
12,maize,1973,1,1,1,0
13,maize,1974,2,1,2,0
14,maize,1975,3,3,0,0
15,maize,1976,4,3,3,0
16,maize,1977,3,2,2,0
17,maize,1978,1,1,1,0
18,maize,1979,2,1,1,0
19,maize,1980,2,2,2,0
20,maize,1981,2,2,2,0
21,maize,1982,2,1,0,0
22,maize,1983,2,2,1,0
23,maize,1984,1,1,0,0
24,maize,1985,2,0,0,0
25,maize,1986,3,3,2,0
26,maize,1987,3,2,2,0
27,maize,1988,4,3,3,0
28,maize,1989,3,3,3,0
29,maize,1990,2,2,2,0
30,maize,1991,2,2,2,0
31,maize,1992,1,1,1,0
32,maize,1993,1,1,1,0
33,maize,1994,2,2,1,0
34,maize,1995,1,1,1,0
35,maize,1996,4,2,3,0
36,maize,1997,3,3,2,0
37,maize,1998,2,1,2,0
38,maize,1999,2,1,1,0
39,maize,2000,5,4,4,0
40,maize,2001,3,3,2,0
41,maize,2002,3,2,2,0
42,maize,2003,3,1,1,0
43,maize,2004,0,0,0,0
44,maize,2005,1,1,1,0
45,maize,2006,3,3,2,0
46,maize,2007,2,2,2,0
47,maize,2008,1,1,0,0
48,maize,2009,3,3,3,0
49,maize,2010,2,2,2,0
50,maize,2011,4,4,4,0
51,maize,2012,4,3,4,0
52,maize,2013,3,2,1,0
53,maize,2014,2,1,1,0
54,maize,2015,2,1,1,0
55,maize,2016,1,1,1,0
56,maize,2017,1,1,1,0
57,maize,2018,2,2,2,0
58,maize,2019,1,1,1,0
59,maize,2020,2,1,1,0
