,crop,year,number_of_important_countries_blew_-5%,number_of_important_countries_blew_-10%,number_of_important_countries_bottom_quartile,yldAnomGau
0,soy,1961,2,1,2,0
1,soy,1962,1,0,1,0
2,soy,1963,3,1,3,0
3,soy,1964,2,1,2,0
4,soy,1965,2,1,1,0
5,soy,1966,0,0,0,0
6,soy,1967,0,0,1,0
7,soy,1968,2,1,2,0
8,soy,1969,2,0,1,0
9,soy,1970,2,1,2,0
10,soy,1971,1,0,1,0
11,soy,1972,2,2,2,0
12,soy,1973,0,0,0,0
13,soy,1974,2,1,1,0
14,soy,1975,1,1,1,0
15,soy,1976,3,0,3,0
16,soy,1977,0,0,0,0
17,soy,1978,1,1,1,0
18,soy,1979,2,1,2,0
19,soy,1980,2,1,2,0
20,soy,1981,0,0,0,0
21,soy,1982,1,1,1,0
22,soy,1983,2,2,2,0
23,soy,1984,1,0,1,0
24,soy,1985,0,0,0,0
25,soy,1986,1,1,1,0
26,soy,1987,1,0,0,0
27,soy,1988,1,1,1,0
28,soy,1989,2,2,2,0
29,soy,1990,1,0,1,0
30,soy,1991,2,1,2,0
31,soy,1992,1,0,1,0
32,soy,1993,1,0,1,0
33,soy,1994,0,0,0,0
34,soy,1995,1,0,1,0
35,soy,1996,0,0,0,0
36,soy,1997,1,1,1,0
37,soy,1998,0,0,0,0
38,soy,1999,0,0,1,0
39,soy,2000,0,0,0,0
40,soy,2001,1,0,1,0
41,soy,2002,0,0,0,0
42,soy,2003,1,1,1,0
43,soy,2004,2,1,2,0
44,soy,2005,1,1,1,0
45,soy,2006,1,0,1,0
46,soy,2007,1,1,1,0
47,soy,2008,1,0,1,0
48,soy,2009,1,1,2,0
49,soy,2010,0,0,0,0
50,soy,2011,0,0,0,0
51,soy,2012,3,1,3,0
52,soy,2013,1,0,0,0
53,soy,2014,0,0,0,0
54,soy,2015,0,0,0,0
55,soy,2016,1,0,1,0
56,soy,2017,0,0,0,0
57,soy,2018,1,1,1,0
58,soy,2019,0,0,1,0
59,soy,2020,0,0,0,0
