,crop,year,number_of_important_countries_blew_-5%,number_of_important_countries_blew_-10%,number_of_important_countries_bottom_quartile,yldAnomSmooth5
0,soy,1963,3,0,2,0
1,soy,1964,2,1,2,0
2,soy,1965,2,1,1,0
3,soy,1966,1,1,1,0
4,soy,1967,1,1,2,0
5,soy,1968,1,1,1,0
6,soy,1969,2,0,2,0
7,soy,1970,3,3,3,0
8,soy,1971,3,2,3,0
9,soy,1972,3,2,3,0
10,soy,1973,1,0,0,0
11,soy,1974,2,2,2,0
12,soy,1975,1,1,1,0
13,soy,1976,2,0,3,0
14,soy,1977,0,0,0,0
15,soy,1978,2,2,2,0
16,soy,1979,2,2,3,0
17,soy,1980,3,3,3,0
18,soy,1981,0,0,0,0
19,soy,1982,3,1,3,0
20,soy,1983,3,2,2,0
21,soy,1984,1,0,1,0
22,soy,1985,0,0,0,0
23,soy,1986,3,3,3,0
24,soy,1987,1,1,1,0
25,soy,1988,1,1,1,0
26,soy,1989,2,1,2,0
27,soy,1990,0,0,0,0
28,soy,1991,3,3,4,0
29,soy,1992,2,1,2,0
30,soy,1993,1,0,1,0
31,soy,1994,1,0,0,0
32,soy,1995,0,0,2,0
33,soy,1996,0,0,1,0
34,soy,1997,1,1,1,0
35,soy,1998,0,0,0,0
36,soy,1999,0,0,1,0
37,soy,2000,3,1,3,0
38,soy,2001,1,0,1,0
39,soy,2002,2,1,1,0
40,soy,2003,1,1,2,0
41,soy,2004,4,2,4,0
42,soy,2005,2,1,1,0
43,soy,2006,2,1,2,0
44,soy,2007,1,1,1,0
45,soy,2008,2,0,2,0
46,soy,2009,4,3,5,0
47,soy,2010,0,0,0,0
48,soy,2011,0,0,0,0
49,soy,2012,4,2,4,0
50,soy,2013,1,0,0,0
51,soy,2014,1,1,1,0
52,soy,2015,2,2,2,0
53,soy,2016,2,0,1,0
54,soy,2017,0,0,0,0
55,soy,2018,1,1,1,0
