,crop,year,number_of_important_countries_blew_-5%,number_of_important_countries_blew_-10%,number_of_important_countries_bottom_quartile,yldAnomGauAbs
0,wheat,1961,3,2,3,0
1,wheat,1962,1,0,1,0
2,wheat,1963,3,2,1,0
3,wheat,1964,2,1,1,0
4,wheat,1965,1,1,1,0
5,wheat,1966,3,2,2,0
6,wheat,1967,3,2,2,0
7,wheat,1968,0,0,0,0
8,wheat,1969,3,1,2,0
9,wheat,1970,2,1,1,0
10,wheat,1971,1,0,0,0
11,wheat,1972,0,0,0,0
12,wheat,1973,1,0,1,0
13,wheat,1974,3,2,2,0
14,wheat,1975,2,2,2,0
15,wheat,1976,2,1,1,0
16,wheat,1977,3,2,2,0
17,wheat,1978,1,0,0,0
18,wheat,1979,0,0,0,0
19,wheat,1980,2,2,2,0
20,wheat,1981,3,3,2,0
21,wheat,1982,2,0,0,0
22,wheat,1983,1,1,1,0
23,wheat,1984,1,1,1,0
24,wheat,1985,1,0,0,0
25,wheat,1986,2,2,2,0
26,wheat,1987,2,1,2,0
27,wheat,1988,3,1,3,0
28,wheat,1989,2,1,1,0
29,wheat,1990,1,0,1,0
30,wheat,1991,3,3,3,0
31,wheat,1992,1,1,0,0
32,wheat,1993,1,1,0,0
33,wheat,1994,2,1,2,0
34,wheat,1995,3,3,2,0
35,wheat,1996,2,2,2,0
36,wheat,1997,1,1,0,0
37,wheat,1998,3,2,3,0
38,wheat,1999,0,0,0,0
39,wheat,2000,2,2,2,0
40,wheat,2001,2,2,2,0
41,wheat,2002,2,2,2,0
42,wheat,2003,4,3,4,0
43,wheat,2004,0,0,0,0
44,wheat,2005,1,1,1,0
45,wheat,2006,4,3,2,0
46,wheat,2007,3,2,2,0
47,wheat,2008,0,0,0,0
48,wheat,2009,0,0,0,0
49,wheat,2010,3,1,2,0
50,wheat,2011,3,1,1,0
51,wheat,2012,1,1,1,0
52,wheat,2013,1,0,0,0
53,wheat,2014,1,1,1,0
54,wheat,2015,2,2,2,0
55,wheat,2016,2,2,2,0
56,wheat,2017,1,1,1,0
57,wheat,2018,4,1,0,0
58,wheat,2019,0,0,0,0
59,wheat,2020,1,1,1,0
