,crop,year,number_of_important_countries_blew_-5%,number_of_important_countries_blew_-10%,number_of_important_countries_bottom_quartile,yldAnomGau
0,wheat,1961,9,7,9,0
1,wheat,1962,1,1,1,0
2,wheat,1963,4,2,4,0
3,wheat,1964,4,1,5,0
4,wheat,1965,4,2,4,0
5,wheat,1966,5,5,6,0
6,wheat,1967,7,4,5,0
7,wheat,1968,4,2,4,0
8,wheat,1969,3,0,2,0
9,wheat,1970,4,0,4,0
10,wheat,1971,1,0,2,0
11,wheat,1972,1,1,1,0
12,wheat,1973,2,1,2,0
13,wheat,1974,6,4,5,0
14,wheat,1975,3,2,3,0
15,wheat,1976,3,3,3,0
16,wheat,1977,4,3,7,0
17,wheat,1978,1,0,1,0
18,wheat,1979,1,1,1,0
19,wheat,1980,5,2,5,0
20,wheat,1981,3,2,3,0
21,wheat,1982,1,1,1,0
22,wheat,1983,2,0,2,0
23,wheat,1984,3,2,3,0
24,wheat,1985,4,1,3,0
25,wheat,1986,2,0,2,0
26,wheat,1987,4,0,5,0
27,wheat,1988,3,1,4,0
28,wheat,1989,4,1,4,0
29,wheat,1990,0,0,1,0
30,wheat,1991,4,0,4,0
31,wheat,1992,1,0,2,0
32,wheat,1993,0,0,0,0
33,wheat,1994,4,3,4,0
34,wheat,1995,2,1,3,0
35,wheat,1996,3,2,4,0
36,wheat,1997,1,0,3,0
37,wheat,1998,1,1,2,0
38,wheat,1999,1,0,1,0
39,wheat,2000,1,1,2,0
40,wheat,2001,3,1,4,0
41,wheat,2002,5,2,6,0
42,wheat,2003,5,5,6,0
43,wheat,2004,0,0,1,0
44,wheat,2005,0,0,1,0
45,wheat,2006,1,0,2,0
46,wheat,2007,7,2,7,0
47,wheat,2008,2,1,2,0
48,wheat,2009,1,1,1,0
49,wheat,2010,2,1,3,0
50,wheat,2011,2,0,2,0
51,wheat,2012,3,2,3,0
52,wheat,2013,3,0,2,0
53,wheat,2014,3,0,3,0
54,wheat,2015,3,2,3,0
55,wheat,2016,1,1,2,0
56,wheat,2017,0,0,0,0
57,wheat,2018,1,1,2,0
58,wheat,2019,1,0,1,0
59,wheat,2020,2,2,2,0
