,crop_type,country,average_exportation,percent
154,maize,United States of America,52859510.833333336,31.2810%
19,maize,Brazil,30135568.0,17.8335%
5,maize,Argentina,26846180.0,15.8869%
162,maize,Former USSR,26492483.116666667,15.6776%
51,maize,France,5016147.166666667,2.9684%
118,maize,Romania,4879318.666666667,2.8875%
63,maize,Hungary,3287096.3333333335,1.9452%
110,maize,Paraguay,2319806.6666666665,1.3728%
126,maize,Serbia,2312864.3333333335,1.3687%
21,maize,Bulgaria,1675725.8333333333,0.9917%
133,maize,South Africa,1658827.1666666667,0.9817%
27,maize,Canada,1412944.0,0.8361%
113,maize,Poland,1088200.3333333333,0.6440%
92,maize,Mexico,996839.3333333334,0.5899%
65,maize,India,855231.3333333334,0.5061%
99,maize,Netherlands,743991.8333333334,0.4403%
36,maize,Croatia,682163.0,0.4037%
96,maize,Myanmar,611833.3333333334,0.3621%
130,maize,Slovakia,484144.1666666667,0.2865%
131,maize,Slovenia,471560.0,0.2791%
55,maize,Germany,420358.3333333333,0.2488%
7,maize,Austria,397447.0,0.2352%
149,maize,Uganda,294843.0,0.1745%
160,maize,Zambia,286748.1666666667,0.1697%
142,maize,Thailand,274643.6666666667,0.1625%
38,maize,Czechia,262683.0,0.1554%
13,maize,Belgium,250980.0,0.1485%
147,maize,Türkiye,233255.33333333334,0.1380%
79,maize,Lao People's Democratic Republic,188512.83333333334,0.1116%
152,maize,United Kingdom of Great Britain and Northern Ireland,155988.66666666666,0.0923%
134,maize,Spain,151929.66666666666,0.0899%
158,maize,Viet Nam,119536.33333333333,0.0707%
114,maize,Portugal,113159.66666666667,0.0670%
66,maize,Indonesia,98730.66666666667,0.0584%
153,maize,United Republic of Tanzania,94917.0,0.0562%
40,maize,Denmark,69844.33333333333,0.0413%
6,maize,Australia,62291.666666666664,0.0369%
71,maize,Italy,61913.666666666664,0.0366%
107,maize,Pakistan,58582.833333333336,0.0347%
22,maize,Burkina Faso,54499.5,0.0323%
25,maize,Cambodia,53427.833333333336,0.0316%
151,maize,United Arab Emirates,50023.833333333336,0.0296%
69,maize,Ireland,34643.833333333336,0.0205%
74,maize,Jordan,27674.833333333332,0.0164%
30,maize,Chile,24700.5,0.0146%
16,maize,Bolivia (Plurinational State of),24494.5,0.0145%
35,maize,Côte d'Ivoire,22786.833333333332,0.0135%
17,maize,Bosnia and Herzegovina,22667.333333333332,0.0134%
89,maize,Malaysia,20803.333333333332,0.0123%
31,maize,"China, mainland",20647.833333333332,0.0122%
44,maize,Egypt,15656.5,0.0093%
10,maize,Bangladesh,15159.5,0.0090%
70,maize,Israel,12162.5,0.0072%
159,maize,Yemen,12027.166666666666,0.0071%
57,maize,Greece,11685.0,0.0069%
104,maize,North Macedonia,10594.666666666666,0.0063%
111,maize,Peru,9912.5,0.0059%
155,maize,Uruguay,9489.0,0.0056%
86,maize,Luxembourg,9308.5,0.0055%
14,maize,Belize,9070.833333333334,0.0054%
103,maize,Nigeria,8144.333333333333,0.0048%
136,maize,Sudan,7243.833333333333,0.0043%
48,maize,Ethiopia,6691.333333333333,0.0040%
76,maize,Kenya,5638.0,0.0033%
146,maize,Tunisia,4460.0,0.0026%
58,maize,Guatemala,3812.1666666666665,0.0023%
56,maize,Ghana,3536.0,0.0021%
100,maize,New Zealand,3424.3333333333335,0.0020%
81,maize,Lebanon,3208.8333333333335,0.0019%
45,maize,El Salvador,2751.3333333333335,0.0016%
84,maize,Libya,2706.0,0.0016%
88,maize,Malawi,2576.6666666666665,0.0015%
120,maize,Rwanda,2321.0,0.0014%
106,maize,Oman,1910.3333333333333,0.0011%
101,maize,Nicaragua,1900.3333333333333,0.0011%
95,maize,Mozambique,1834.1666666666667,0.0011%
90,maize,Mali,1796.6666666666667,0.0011%
32,maize,Colombia,1703.3333333333333,0.0010%
